step,examples,endpoint_relative_error,endpoint_token_agreement
0,512,1.0111373023828492,0.4320068359375
1,512,0.9382678858819418,0.4962158203125
2,508,0.8678948571245502,0.5570866141732284
3,504,0.7917503595706963,0.6184275793650794
4,493,0.7176735191690994,0.6735547667342799
5,477,0.6416747962091454,0.7215670859538784
6,451,0.5696154941872853,0.7649667405764967
7,419,0.5036865344408873,0.8038484486873508
8,374,0.45005442692156145,0.835394385026738
9,325,0.39887281527886026,0.864423076923077
10,273,0.3444190606092795,0.8898809523809523
11,226,0.28369363555602267,0.9164823008849557
12,174,0.2411758832890412,0.9367816091954023
13,131,0.17311037519505915,0.9608778625954199
14,96,0.07707899048303564,0.9856770833333334
15,60,0.0,1.0
16,22,0.0,1.0
